Operateur;lon;lat;2G;3G;4G
20801;-4.283364;47.795437;0;1;0
20810;-4.358133;48.370718;1;1;1
20820;-4.358054;48.370831;1;1;1
20815;-4.357949;48.370757;0;1;1
20820;-4.293752;47.917341;1;1;1
20815;-4.29374;47.917351;0;1;1
20810;-4.293685;47.917345;1;1;1
20820;-4.282385;47.840194;1;1;1
20810;-4.282385;47.840194;1;1;1
20820;-4.377931;48.53115;1;1;0
20801;-4.276845;47.806391;1;1;1
20810;-4.282394;47.853452;1;1;0
20801;-4.2794;47.833709;1;1;0
20820;-4.270997;47.805915;1;1;0
20815;-4.27063;47.805974;0;1;1
20801;-4.359673;48.458061;1;1;1
20801;-4.299001;48.085657;1;1;1
20810;-4.298953;48.085606;1;1;0
20820;-4.29861;48.085564;1;1;1
20810;-4.359237;48.536152;1;1;0
20820;-4.26889;47.898335;1;1;1
20815;-4.26889;47.898335;0;1;1
20810;-4.26889;47.898335;1;1;1
20801;-4.269809;47.913642;1;1;0
20810;-4.278189;47.988858;1;1;0
20801;-4.370015;48.653347;1;1;0
20820;-4.369858;48.653004;1;1;1
20810;-4.369455;48.653048;1;1;1
20820;-4.330565;48.469724;1;1;1
20810;-4.325724;48.444834;1;1;0
20820;-4.323641;48.430904;1;1;0
20801;-4.242582;47.86075;0;1;1
20820;-4.335572;48.573052;1;1;1
20801;-4.33548;48.572976;1;1;1
20815;-4.309989;48.391632;0;1;1
20810;-4.308861;48.389967;1;1;0
20801;-4.30757;48.382548;1;1;1
20810;-4.332998;48.571295;1;0;0
20810;-4.226118;47.804712;1;1;0
20801;-4.226081;47.804841;1;1;0
20801;-4.247102;47.995428;1;1;0
20810;-4.253366;48.042639;1;1;1
20815;-4.326317;48.57899;0;1;1
20801;-4.326309;48.579026;1;1;0
20801;-4.287811;48.329474;1;1;0
20820;-4.287754;48.32945;1;1;0
20815;-4.287742;48.32946;0;1;1
20810;-4.224699;47.877238;1;1;1
20801;-4.224662;47.877258;1;1;1
20820;-4.224543;47.877573;1;1;1
20801;-4.222326;47.863376;1;1;1
20801;-4.318695;48.562584;1;1;0
20820;-4.245091;48.035658;1;1;0
20820;-4.303484;48.534278;1;1;0
20810;-4.302919;48.534132;1;1;0
20815;-4.302691;48.533767;0;1;1
20801;-4.30257;48.533774;1;1;0
20820;-4.230661;48.020905;1;1;0
20815;-4.230555;48.021111;0;1;1
20820;-4.275844;48.371106;1;1;1
20820;-4.197506;47.833608;1;1;1
20810;-4.197393;47.833561;1;1;1
20801;-4.191515;47.810615;0;1;0
20810;-4.219373;48.031152;1;1;0
20810;-4.275839;48.453106;1;1;0
20801;-4.269113;48.426371;1;1;1
20810;-4.292046;48.603161;1;1;0
